Route_ID,Source_Station,Destination_Station,Distance,Duration
564,Morrisonville,East Melissa,132 km,4 hours
565,Kaylastad,Lake Collin,135 km,4 hours
566,Douglasborough,Jamestown,98 km,4 hours
567,East Robertbury,North Aaronhaven,158 km,1 hours
568,West Christopherland,Kristenfurt,61 km,1 hours
569,South David,West Zachary,191 km,1 hours
570,South Rebecca,East Kathleenmouth,69 km,1 hours
571,South Caseyland,Ashleybury,68 km,4 hours
572,Lake Brian,Lake Courtneyborough,190 km,4 hours
573,Debraborough,New Huntermouth,146 km,4 hours
574,North Brianville,Richardsside,162 km,1 hours
575,Elizabethport,Craigbury,171 km,2 hours
576,Michaelfurt,Kyleton,92 km,4 hours
577,Kaylastad,Martinshire,71 km,3 hours
578,New Eric,East Codymouth,149 km,3 hours
579,Josetown,West Vanessafort,191 km,2 hours
580,Colemanton,Merrittfurt,180 km,3 hours
581,South Phillip,Stevenshire,194 km,1 hours
582,Glennborough,New Robin,128 km,1 hours
583,East Ashley,East Michaelchester,144 km,2 hours
584,Kelleyberg,Laurenton,72 km,4 hours
585,Scottport,Suttonbury,67 km,4 hours
586,East Brianland,Michaelfurt,58 km,4 hours
587,West Maurice,East Robertbury,145 km,4 hours
588,East Rebecca,Williamstad,69 km,4 hours
589,Davidshire,Port Jameshaven,167 km,4 hours
590,Michaelburgh,West Stephenburgh,123 km,1 hours
591,Murphymouth,Port Wandaland,97 km,4 hours
592,Port Adamton,Jonesland,114 km,4 hours
593,Mitchellfort,Lauriefurt,83 km,3 hours
594,Richardsstad,East Cassandraton,56 km,2 hours
595,Mackberg,Heatherview,73 km,3 hours
596,East Loretta,East Patricia,168 km,2 hours
597,South Scottbury,Port Michael,164 km,1 hours
598,South Teresa,Floydfurt,111 km,3 hours
599,West Tylermouth,West Lucasland,146 km,1 hours
600,Brianton,Nancyshire,120 km,2 hours
601,East Christopher,Michaelfurt,156 km,1 hours
602,Port Robert,Bakerport,165 km,3 hours
603,New Jason,West Kelly,84 km,4 hours
604,Lake Peggymouth,Williamsborough,189 km,3 hours
605,Port Sean,Tammyside,70 km,2 hours
606,East Kennethmouth,Lake Randyside,88 km,4 hours
607,East Jamesview,South Jaime,158 km,2 hours
608,New Jesse,North Amy,91 km,2 hours
609,Port Megan,Lake Jason,50 km,3 hours
610,Port Williambury,Lake Josephborough,59 km,1 hours
611,Goodmantown,South Lauraland,172 km,3 hours
612,Annaville,Millerton,126 km,2 hours
613,Williamsmouth,Floresberg,141 km,3 hours
614,Coltonshire,West Jamesfurt,141 km,1 hours
615,West Jamesfurt,North Michelle,73 km,3 hours
616,South Ryan,Nguyenburgh,115 km,2 hours
617,Lewisview,Pearsontown,97 km,4 hours
618,Lake Jacob,North Johnchester,135 km,1 hours
619,West Michael,Smithmouth,140 km,2 hours
620,Wareview,East Omar,129 km,4 hours
621,Lake Randyside,Alexandraton,160 km,4 hours
622,Davidville,South Debbie,78 km,2 hours
623,Lake Johnchester,North Bradleyshire,112 km,2 hours
624,Jacksonview,South Kellyfort,86 km,1 hours
625,Wrightport,Jimmystad,158 km,1 hours
626,West Sarahton,Hollyberg,178 km,1 hours
627,Zacharyhaven,Port Adamton,59 km,1 hours
628,Port Steven,Lake Sandrafurt,192 km,1 hours
629,West Jasonland,Dorothymouth,112 km,2 hours
630,West Terry,Powelltown,77 km,1 hours
631,Brettstad,Grahamchester,72 km,3 hours
632,Pruittberg,North Michelle,55 km,2 hours
633,Beckerfort,North Caroline,65 km,2 hours
634,Kyleville,Port Adam,114 km,2 hours
635,East Robert,Christinechester,173 km,3 hours
636,East Susan,New David,78 km,2 hours
637,East Bethany,Kaylastad,104 km,4 hours
638,Nancyport,West Danielfurt,138 km,2 hours
639,Kyleton,North Jack,122 km,4 hours
640,Kimberlyhaven,Alyssaville,61 km,4 hours
641,Port Samanthamouth,Christianchester,111 km,1 hours
642,Williamsbury,East Bradleyville,147 km,1 hours
643,Victorfort,Johnshire,151 km,3 hours
644,New Edwardborough,East Kathleenmouth,62 km,1 hours
645,Royton,Pruittberg,188 km,4 hours
646,Coltonshire,New Shaunburgh,115 km,3 hours
647,East Tylerview,Carterborough,186 km,4 hours
648,Haydenmouth,East Codymouth,118 km,3 hours
649,South James,Daughertymouth,173 km,1 hours
650,East Johnview,Lisaberg,189 km,3 hours
651,North Christopherhaven,Lake Kaylafort,138 km,1 hours
652,Rachelberg,West Mariamouth,173 km,1 hours
653,Ramosport,North Amy,190 km,4 hours
654,West Karen,East Monica,193 km,4 hours
655,Morrisonville,Keithfort,175 km,4 hours
656,Phillipsmouth,West Markfurt,180 km,1 hours
657,Debraland,Rossburgh,159 km,3 hours
658,Erinhaven,North Tammy,63 km,1 hours
659,Richardsstad,North Rachel,91 km,2 hours
660,Bennettfurt,Kellymouth,144 km,3 hours
661,Lake Feliciaview,Jonesland,120 km,1 hours
662,Flemingmouth,Andreahaven,162 km,4 hours
663,Lorifurt,South Debbie,175 km,2 hours
664,West Veronicaville,Charlesfort,122 km,2 hours
665,Brownview,Bellville,106 km,2 hours
666,Amandaside,North Lisa,92 km,4 hours
667,Port Kenneth,Leeside,69 km,1 hours
668,North Brianville,South Nicholas,191 km,1 hours
669,Briannaport,Allenchester,193 km,4 hours
670,Lake Taylor,Lake Collin,138 km,3 hours
671,Andersenport,Smithview,118 km,2 hours
672,Careyberg,Grantfort,154 km,2 hours
673,West Christinechester,Erikburgh,53 km,4 hours
674,Anthonyfort,Elizabethborough,135 km,2 hours
675,Knappside,Brownport,144 km,4 hours
676,Tammytown,South Stephanieborough,124 km,3 hours
677,West Jamesfurt,West Christinechester,139 km,1 hours
678,Jacksonview,New Elizabethburgh,106 km,2 hours
679,Domingueztown,Dylanport,118 km,1 hours
680,Millsside,Lake Christianchester,129 km,1 hours
681,Millerton,South Kellyfort,187 km,3 hours
682,New Janet,West Linda,185 km,2 hours
683,Port Sydney,South Phillipburgh,136 km,3 hours
684,Lake Jennifer,Lake Jenniferbury,62 km,1 hours
685,North James,Jessicatown,73 km,1 hours
686,Seanberg,Lunaberg,69 km,1 hours
687,Millerton,East Max,112 km,4 hours
688,Moranfurt,Port Amandashire,180 km,4 hours
689,North Jerryland,East Bradleyville,161 km,4 hours
690,West Brucechester,Valerieview,161 km,3 hours
691,Russellberg,Briannaport,142 km,2 hours
692,Millsside,West Cynthia,89 km,2 hours
693,East Amandaberg,New Daniel,78 km,4 hours
694,West Charleston,West Melissaside,148 km,1 hours
695,Silvaside,West Kelsey,94 km,1 hours
696,Brettstad,South Kellyhaven,169 km,1 hours
697,Port Jennifer,Rogerschester,176 km,3 hours
698,Lake Erica,Vegamouth,179 km,4 hours
699,Derricktown,Cookhaven,153 km,4 hours
700,West Brittanyburgh,Thomasfort,131 km,3 hours
701,Lake Christopher,Dylanport,178 km,3 hours
702,Lindachester,West Dennis,118 km,1 hours
703,North Reneeton,East Omar,148 km,4 hours
704,Villarrealview,Amandaside,166 km,2 hours
705,Danieltown,West Karafort,188 km,2 hours
706,South Dawnshire,Wayneburgh,55 km,4 hours
707,North Christopher,Lake Josebury,59 km,3 hours
708,East Catherineton,East Bethany,173 km,3 hours
709,South Laurafurt,West Brianna,189 km,2 hours
710,Espinozaton,Haleyview,128 km,3 hours
711,Collinstown,South Dannystad,86 km,3 hours
712,Singletonfurt,Meyerhaven,158 km,3 hours
713,North Lisa,Jonesmouth,81 km,3 hours
714,North Johnchester,New Adrian,191 km,3 hours
715,Kyleville,Norristown,121 km,3 hours
716,Kennethberg,Elizabethborough,167 km,1 hours
717,East Sandraburgh,East Robin,62 km,2 hours
718,Grahamchester,East Nicholas,97 km,3 hours
719,Smithmouth,Mackberg,70 km,3 hours
720,Gonzalezland,Port Pamelaview,197 km,4 hours
721,East Monica,North Patricia,122 km,4 hours
722,Monicafurt,Lake Michael,63 km,3 hours
723,Erikburgh,South Marymouth,122 km,4 hours
724,North Lisaview,Lake Nancy,171 km,1 hours
725,Port Carolynstad,Port Cathytown,134 km,1 hours
726,East Trevorstad,Lake Christopher,133 km,1 hours
727,Alyssaville,New Daniel,178 km,4 hours
728,New Michellehaven,New Codyfort,71 km,2 hours
729,Port Sean,West Anaton,160 km,3 hours
730,Campbellfort,Bryanfurt,153 km,2 hours
731,Justintown,Terryland,104 km,1 hours
732,Mendozafort,West Kevin,52 km,1 hours
733,Lake Jill,Collinstown,65 km,1 hours
734,Michaeltown,Tammyside,83 km,4 hours
735,West Tiffanyfurt,Moranfurt,132 km,4 hours
736,Campbellfort,Alyssaville,60 km,1 hours
737,Lake Christopher,Port Marc,70 km,2 hours
738,Leeside,East Jamesville,174 km,1 hours
739,South Robertshire,East Bradleyville,72 km,4 hours
740,Meyerhaven,Gonzalezview,60 km,2 hours
741,Loriburgh,Robertburgh,98 km,2 hours
742,Perezchester,Aguirreberg,102 km,1 hours
743,South Regina,New Michaelshire,88 km,3 hours
744,North Melissa,Mooreberg,134 km,4 hours
745,Connerton,Kathrynport,152 km,4 hours
746,East Morgan,West Deborahfort,94 km,3 hours
747,Lake David,New Amber,68 km,3 hours
748,Michaeltown,West Karen,163 km,1 hours
749,Scottbury,Lake Sandrafurt,155 km,4 hours
750,North Juliechester,South Ryanfurt,174 km,1 hours
751,New Nathan,Thomasside,70 km,3 hours
752,Jamestown,New Jenniferport,117 km,4 hours
753,East Gregory,West Michael,92 km,4 hours
754,Johnmouth,Murphyville,155 km,1 hours
755,East Christopher,Richardside,147 km,2 hours
756,West Mariamouth,Chapmanborough,73 km,4 hours
757,Whiteborough,South Kayleehaven,114 km,3 hours
758,Santiagobury,South Ryan,190 km,3 hours
759,Lake Josebury,Rachelberg,71 km,1 hours
760,North Caroline,West Vanessafort,59 km,2 hours
761,Malloryview,North Reneeton,55 km,4 hours
762,Jacksonmouth,Kristintown,186 km,3 hours
763,West Sarahton,Alexandraton,170 km,1 hours
764,New Juanchester,Bryanfurt,175 km,1 hours
765,Mitchellfort,Smithport,175 km,2 hours
766,West Karenmouth,Deniseville,176 km,4 hours
767,Gonzalezland,Christopherborough,152 km,1 hours
768,Jimmystad,Port Marc,90 km,3 hours
769,West Vanessafort,Johnsonton,108 km,2 hours
770,Kyleville,Murphymouth,121 km,4 hours
771,Kellymouth,Priceside,94 km,2 hours
772,South Jacob,Lake Anthonyview,197 km,3 hours
773,Carlshire,East Omar,200 km,1 hours
774,Port Karenmouth,Charlesville,135 km,1 hours
775,Rachelmouth,Bauerside,171 km,4 hours
776,Jessicabury,Jasonview,155 km,2 hours
777,Jamesside,Lake Randyside,109 km,3 hours
778,Lake Laura,Grantfort,118 km,1 hours
779,Hollyberg,Charlesfort,170 km,2 hours
780,Bentonfurt,Port Kenneth,139 km,1 hours
781,North Lauraland,Josephmouth,105 km,2 hours
782,Averyburgh,Port Wandaland,119 km,1 hours
783,South Brianna,Osbornburgh,196 km,2 hours
784,Rogerschester,East Kimberlyport,81 km,1 hours
785,Perezberg,West Jasonland,74 km,3 hours
786,Port James,Davisland,147 km,3 hours
787,Lake Dennisfort,West Charleston,86 km,1 hours
788,South Jaime,Thomasland,197 km,1 hours
789,Jordanmouth,Jonesstad,61 km,4 hours
790,East Jamesview,Craigbury,70 km,1 hours
791,West Kelsey,Kelleyberg,107 km,2 hours
792,North Cheryl,West Angelica,112 km,1 hours
793,Whiteborough,Lesterhaven,155 km,3 hours
794,Victorfort,Isabelchester,89 km,3 hours
795,North Pennyhaven,Lake Daisyton,165 km,3 hours
796,Davidshire,Onealland,54 km,1 hours
797,North Kimchester,North Jerryland,99 km,3 hours
798,Lucasfort,Washingtonchester,69 km,2 hours
799,South Brandon,Morganfurt,200 km,4 hours
800,Lake Erinland,New Daniel,170 km,1 hours
801,Jessicabury,Kyleport,185 km,4 hours
802,South Marymouth,North Bradleyshire,166 km,4 hours
803,West Scott,Lake Michael,58 km,2 hours
804,Deanland,Lake David,102 km,4 hours
805,West Markberg,Robertfurt,164 km,4 hours
806,Dawsonmouth,Ramseyburgh,129 km,4 hours
807,West Michael,Gonzalezland,170 km,3 hours
808,West Sean,Elizabethhaven,84 km,4 hours
809,West Gregory,North Jamie,108 km,4 hours
810,Stevenshire,Suttonport,190 km,1 hours
811,East Patricia,New Juanchester,153 km,1 hours
812,Averyburgh,Brianburgh,123 km,1 hours
813,West Scott,Amandashire,126 km,2 hours
814,South Caseyland,Thomaschester,106 km,4 hours
815,Alexisburgh,East Amy,137 km,3 hours
816,West Stephenburgh,Beckerfort,134 km,4 hours
817,Joneschester,West Brittanyburgh,84 km,1 hours
818,West Michael,Isabelchester,163 km,4 hours
819,Careyberg,East Max,128 km,1 hours
820,Gonzalezland,Lake Jenniferbury,136 km,2 hours
821,Port Robert,Brownfort,94 km,2 hours
822,Harrisshire,Rachelberg,84 km,4 hours
823,North Patricia,Wangmouth,70 km,3 hours
824,Allenchester,Frostport,192 km,2 hours
825,Wareview,Lake Johnchester,109 km,4 hours
826,Kennethport,Smithburgh,57 km,1 hours
827,Georgefurt,South Karen,128 km,1 hours
828,Mooreberg,Villarrealview,101 km,4 hours
829,Triciaborough,New Traci,167 km,1 hours
830,Port Johnny,Garzamouth,184 km,2 hours
831,Riceton,Harringtonside,56 km,2 hours
832,Kruegerfurt,Rachelberg,111 km,1 hours
833,East Rita,New Jesse,139 km,4 hours
834,Brettstad,South Robert,166 km,3 hours
835,Lake Laura,Morrisonville,110 km,1 hours
836,Nancyberg,East Michaelstad,180 km,2 hours
837,Whiteview,Harrellmouth,199 km,2 hours
838,West Matthewborough,Washingtonchester,152 km,2 hours
839,Riceton,East Nicholas,188 km,4 hours
840,South Phillip,East Bradley,137 km,4 hours
841,East Christina,Nancyshire,109 km,1 hours
842,Smithburgh,New Wendy,86 km,3 hours
843,East John,Jefferyburgh,99 km,2 hours
844,Elizabethport,Dylanport,82 km,1 hours
845,Port Davidland,Cynthiahaven,129 km,2 hours
846,North Jeremiah,Jonesland,92 km,1 hours
847,Floydfurt,Duncanton,137 km,3 hours
848,Rachelberg,Michellefort,88 km,4 hours
849,South Michaelfort,Vanessahaven,151 km,1 hours
850,South Rebecca,Kellyside,117 km,3 hours
851,Lake Melanie,West Mariamouth,106 km,1 hours
852,West Gail,Lake Christianchester,98 km,2 hours
853,New Robin,Grantfort,165 km,4 hours
854,Amandashire,Port Rhondaside,78 km,1 hours
855,Rachelchester,Fowlerbury,58 km,2 hours
856,Cooperport,Perezchester,164 km,3 hours
857,South Rebeccahaven,West Sarahton,133 km,1 hours
858,North Kimchester,Port Megan,159 km,2 hours
859,Knappside,Joshuaside,197 km,1 hours
860,Hernandezmouth,Deniseville,141 km,2 hours
861,West Diane,Simpsonstad,146 km,1 hours
862,East Michael,West Gregory,94 km,2 hours
863,Wrightmouth,Nancyberg,70 km,1 hours
864,New April,Port Jenniferville,54 km,4 hours
865,New John,East Jessica,195 km,2 hours
866,West Charleston,Lake Nancy,81 km,2 hours
867,Lake Taylor,Christophermouth,117 km,3 hours
868,Alyssaville,Lake Randyside,124 km,1 hours
869,Victorfort,West Alejandrahaven,122 km,3 hours
870,Juarezburgh,West Markberg,144 km,4 hours
871,Washingtonchester,Jordanmouth,50 km,3 hours
872,Port James,East Amy,176 km,3 hours
873,Perezchester,Matthewshaven,135 km,1 hours
874,East Nicholas,Hughesfort,99 km,1 hours
875,North Samantha,West Danielfurt,122 km,2 hours
876,Wrightport,Lozanochester,174 km,1 hours
877,New Lindseymouth,Brettstad,163 km,2 hours
878,Richardsstad,New Robin,138 km,4 hours
879,East Moniqueport,North Melissa,179 km,3 hours
880,Thomastown,Rogerschester,159 km,1 hours
881,New Michellehaven,Floydfurt,195 km,3 hours
882,New Wendy,Danieltown,93 km,4 hours
883,North Margaretborough,East Monica,183 km,4 hours
884,Osbornburgh,Jonathanchester,57 km,2 hours
885,Kellyside,Douglasborough,180 km,3 hours
886,Lake Brian,West Christopherstad,62 km,1 hours
887,Campbellfort,Jonesstad,190 km,3 hours
888,South Angelaborough,West Kevinhaven,179 km,3 hours
889,Christianchester,Port Pamelaview,186 km,4 hours
890,Matthewshaven,Port Davidchester,111 km,3 hours
891,New Robin,Richardsonfort,165 km,4 hours
892,Hardyview,Jessicashire,120 km,3 hours
893,New Bradleyfort,Fisherfurt,73 km,3 hours
894,Andreahaven,Padillafurt,80 km,3 hours
895,East Bradleyville,Nelsonland,104 km,1 hours
896,Lauraport,Debraborough,173 km,1 hours
897,Andersenport,Port Angela,126 km,1 hours
898,Jennifershire,West Jeffery,126 km,2 hours
899,Campbellhaven,Troyburgh,136 km,2 hours
900,Port Wandaland,North Lisa,61 km,4 hours
901,South Brianna,Millsside,81 km,1 hours
902,East Gregory,South Alison,122 km,1 hours
903,South James,Allenchester,104 km,2 hours
904,North Raymondfurt,Beckerfort,62 km,3 hours
905,Lake Donna,South Alex,196 km,3 hours
906,West Scott,Perezchester,70 km,2 hours
907,Taraborough,Jonathanchester,179 km,3 hours
908,Smithtown,Johnville,157 km,1 hours
909,East Johnnyport,Taylorview,111 km,1 hours
910,Fowlerbury,Mariaton,155 km,2 hours
911,East Christopher,Leeborough,180 km,3 hours
912,Port Katherineville,Brucefort,118 km,2 hours
913,Bonnieside,Port Ronnie,177 km,2 hours
914,Port Robert,Connerton,200 km,2 hours
915,East Bradley,Russellside,151 km,2 hours
916,South Kayleehaven,East Jenniferside,149 km,3 hours
917,Joshuaport,West Dennis,121 km,1 hours
918,West Isaacbury,Margaretstad,97 km,3 hours
919,Youngview,Crossmouth,54 km,1 hours
920,Carlland,Jasonview,138 km,2 hours
921,Changville,Joshuaside,179 km,2 hours
922,Kathrynport,Parkerburgh,84 km,3 hours
923,West Brianna,Rossburgh,174 km,4 hours
924,Kellymouth,Fisherfurt,184 km,1 hours
925,East Kathleenmouth,Lake Jennifer,74 km,1 hours
926,Stevenshire,South Erinfurt,126 km,4 hours
927,Nancyshire,Kellymouth,68 km,2 hours
928,Lake Michael,Bauerside,93 km,4 hours
929,South Vanessa,Rebeccamouth,95 km,2 hours
930,East Jamesview,Andreahaven,144 km,4 hours
931,Jessicashire,South Samuelchester,143 km,2 hours
932,Port Jameshaven,New Jesse,106 km,4 hours
933,West Lucasland,Josephmouth,185 km,3 hours
934,West Linda,Nancyshire,108 km,1 hours
935,Nelsonland,Nancyberg,107 km,4 hours
936,Lake Feliciaview,West Kelsey,164 km,3 hours
937,Simonburgh,Port Patriciafurt,107 km,1 hours
938,Brianborough,Alexisland,98 km,4 hours
939,Fosterbury,South Haleyport,170 km,2 hours
940,Margaretstad,Woodsborough,187 km,2 hours
941,West Matthewfort,West Peterbury,113 km,1 hours
942,East Oliviashire,Simpsonstad,168 km,1 hours
943,Monicafurt,Port Jeffreyton,155 km,2 hours
944,North Melissa,East Amandashire,172 km,3 hours
945,Gallegosville,East Patricia,149 km,2 hours
946,Melanieville,South Phillip,139 km,4 hours
947,Andersonberg,Port Wandaland,163 km,4 hours
948,North Mariahborough,East Amandaberg,183 km,4 hours
949,Jonesstad,Elizabethborough,116 km,4 hours
950,East Amandashire,Annaview,165 km,2 hours
951,Davidshire,East Morgan,181 km,2 hours
952,Nguyenburgh,Butlerborough,126 km,3 hours
953,Brucefort,East Catherineton,58 km,3 hours
954,South Vanessa,New Kathy,151 km,1 hours
955,Ashleybury,Perezberg,101 km,3 hours
956,Wilsonhaven,Lake Lisa,69 km,1 hours
957,Crossmouth,Robertville,186 km,2 hours
958,Steveshire,Rodriguezburgh,190 km,1 hours
959,South Ashley,Carlland,107 km,1 hours
960,Lake Josephborough,East Stephenmouth,143 km,4 hours
961,Lake Kellie,East Joseville,179 km,3 hours
962,Catherineport,East Melissa,111 km,2 hours
963,Matthewshaven,Brownfort,98 km,2 hours
964,Lake Jessefurt,Floydfurt,68 km,1 hours
965,Franciscomouth,Port Brendaville,70 km,2 hours
966,Haleyview,Annberg,104 km,4 hours
967,Briannaport,South Sarah,104 km,3 hours
968,Lake Lisa,Robertville,188 km,1 hours
969,Burkestad,Mendozafort,200 km,3 hours
970,Lake Erica,Sabrinaview,177 km,3 hours
971,South Travis,Port Jessica,55 km,4 hours
972,East Nicholas,East Cheryl,173 km,1 hours
973,Port Gary,Lake Brian,109 km,3 hours
974,Kellyborough,South Carolyn,76 km,2 hours
975,East Catherineton,Port Davidland,103 km,4 hours
976,Allenshire,East Jennifer,130 km,4 hours
977,Smithfurt,West Dorothy,196 km,1 hours
978,East Joseville,Lake Melanie,120 km,2 hours
979,Rodriguezburgh,Suttonbury,194 km,1 hours
980,New Janet,North Lauraland,180 km,1 hours
981,East Christopher,Jamesmouth,154 km,1 hours
982,Millerport,North Jack,60 km,3 hours
983,West Vanessafort,Jordanmouth,123 km,1 hours
984,Hughesfort,North Darren,134 km,4 hours
985,Santiagobury,Brownfort,117 km,4 hours
986,Mayschester,New Brittany,139 km,3 hours
987,Port Ronnie,East Taylor,82 km,2 hours
988,Haleyview,Dylanport,138 km,3 hours
989,Sarahfort,Johnsonbury,190 km,1 hours
990,Debbiemouth,South Teresa,98 km,1 hours
991,Richardsside,Bettyfurt,144 km,2 hours
992,West Tylermouth,Kevinton,158 km,3 hours
993,Nancyport,East Christina,61 km,4 hours
994,New Robin,New Edwardborough,114 km,2 hours
995,New Nancyhaven,Elizabethhaven,86 km,1 hours
996,Port Anntown,East Ianmouth,145 km,4 hours
997,Kaylaland,Amandatown,135 km,1 hours
998,Wrightmouth,Lake Rhondachester,70 km,4 hours
999,Lake Feliciaview,West Stacyview,112 km,2 hours
1000,North James,Port Kevin,137 km,4 hours
